GEOID10,NAME10,POP
13001,Appling,18428
13003,Atkinson,8273
13005,Bacon,11372
13007,Baker,3150
13009,Baldwin,45144
13011,Banks,18397
13013,Barrow,77126
13015,Bartow,103807
13017,Ben Hill,17243
13019,Berrien,18993
13021,Bibb,152760
13023,Bleckley,12970
13025,Brantley,18355
13027,Brooks,15687
13029,Bryan,36230
13031,Bulloch,74722
13033,Burke,22688
13035,Butts,23817
13037,Calhoun,6324
13039,Camden,53008
13043,Candler,10910
13045,Carroll,116261
13047,Catoosa,66398
13049,Charlton,12497
13051,Chatham,289082
13053,Chattahoochee,10922
13055,Chattooga,24824
13057,Cherokee,241689
13059,Clarke,124707
13061,Clay,3020
13063,Clayton,279462
13065,Clinch,6829
13067,Cobb,748150
13069,Coffee,43012
13071,Colquitt,45708
13073,Columbia,147450
13075,Cook,17167
13077,Coweta,140526
13079,Crawford,12322
13081,Crisp,22721
13083,Dade,16257
13085,Dawson,23604
13087,Decatur,26822
13089,DeKalb,740321
13091,Dodge,20563
13093,Dooly,13763
13095,Dougherty,90017
13097,Douglas,142224
13099,Early,10339
13101,Echols,3962
13103,Effingham,58712
13105,Elbert,19143
13107,Emanuel,22635
13109,Evans,10670
13111,Fannin,24900
13113,Fayette,111627
13115,Floyd,96560
13117,Forsyth,221009
13119,Franklin,22320
13121,Fulton,1023336
13123,Gilmer,29733
13125,Glascock,3006
13127,Glynn,84502
13129,Gordon,56904
13131,Grady,24808
13133,Greene,17003
13135,Gwinnett,907135
13137,Habersham,44246
13139,Hall,196637
13141,Hancock,8640
13143,Haralson,29042
13145,Harris,33652
13147,Hart,25553
13149,Heard,11487
13151,Henry,221768
13153,Houston,152122
13155,Irwin,9422
13157,Jackson,64615
13159,Jasper,13654
13161,Jeff Davis,14877
13163,Jefferson,15916
13165,Jenkins,8849
13167,Johnson,9505
13169,Jones,28623
13171,Lamar,18469
13173,Lanier,10399
13175,Laurens,47516
13177,Lee,29337
13179,Liberty,62570
13181,Lincoln,7828
13183,Long,18437
13185,Lowndes,114628
13187,Lumpkin,31445
13189,McDuffie,21490
13191,McIntosh,13927
13193,Macon,13450
13195,Madison,28824
13197,Marion,8524
13199,Meriwether,21074
13201,Miller,5926
13205,Mitchell,22459
13207,Monroe,27306
13209,Montgomery,9060
13211,Morgan,18170
13213,Murray,39315
13215,Muscogee,197485
13217,Newton,106999
13219,Oconee,36838
13221,Oglethorpe,14921
13223,Paulding,155825
13225,Peach,26655
13227,Pickens,30832
13229,Pierce,19171
13231,Pike,17941
13233,Polk,41776
13235,Pulaski,11251
13237,Putnam,21477
13239,Quitman,2335
13241,Rabun,16559
13243,Randolph,7177
13245,Richmond,201647
13247,Rockdale,89355
13249,Schley,5098
13251,Screven,14044
13253,Seminole,8468
13255,Spalding,64806
13257,Stephens,25751
13259,Stewart,5705
13261,Sumter,30389
13263,Talbot,6171
13265,Taliaferro,1593
13267,Tattnall,25092
13269,Taylor,8232
13271,Telfair,15965
13273,Terrell,8967
13275,Thomas,45248
13277,Tift,40828
13279,Toombs,27196
13281,Towns,11391
13283,Treutlen,6637
13285,Troup,70005
13287,Turner,8030
13289,Twiggs,8171
13291,Union,22928
13293,Upson,26335
13295,Walker,67896
13297,Walton,90184
13299,Ware,35738
13301,Warren,5442
13303,Washington,20457
13305,Wayne,30104
13307,Webster,2599
13309,Wheeler,7978
13311,White,28884
13313,Whitfield,104589
13315,Wilcox,8761
13317,Wilkes,9805
13319,Wilkinson,9104
13321,Worth,20748
